model_col,series_code,unit,freq,description,tags,aliases
ending_commercial_crude_stocks,pet.wcestus1.w,thousand_barrels,weekly,Ending commercial crude stocks,"{""eia"",""stocks""}",
cushing_crude_stocks,pet.wcsstus1.w,thousand_barrels,weekly,Cushing crude stocks,"{""eia"",""stocks""}",
field_production_of_crude,pet.wcrfpus2.w,thousand_barrels_per_day,weekly,Field production of crude,"{""eia"",""production""}",
net_imports_of_crude,pet.wcrntus2.w,thousand_barrels_per_day,weekly,Net imports of crude,"{""eia"",""imports""}",
crude_runs_to_refineries,pet.wcrrius2.w,thousand_barrels_per_day,weekly,Crude runs to refineries,"{""eia"",""refining""}",
refinery_utilization_us,pet.wpuleus3.w,percent,weekly,Refinery utilization (U.S.),"{""eia"",""refining""}",
gasoline_ending_stocks,pet.wgtstus1.w,thousand_barrels,weekly,Gasoline ending stocks,"{""eia"",""stocks""}",
gasoline_product_supplied,pet.wgfupus2.w,thousand_barrels_per_day,weekly,Gasoline product supplied,"{""eia"",""demand""}",
gasoline_net_production,pet.wgfrpus2.w,thousand_barrels_per_day,weekly,Gasoline net production,"{""eia"",""production""}",
distillate_ending_stocks,pet.wdistus1.w,thousand_barrels,weekly,Distillate ending stocks,"{""eia"",""stocks""}",
distillate_net_production,pet.w_epd0_ypy_nus_mbbld.w,thousand_barrels_per_day,weekly,Distillate net production,"{""eia"",""production""}",
distillate_product_supplied,pet.wdiupus2.w,thousand_barrels_per_day,weekly,Distillate product supplied,"{""eia"",""demand""}",
jet_fuel_ending_stocks,pet.wkjstus1.w,thousand_barrels,weekly,Jet fuel ending stocks,"{""eia"",""stocks""}",
jet_fuel_product_supplied,pet.wkjupus2.w,thousand_barrels_per_day,weekly,Jet fuel product supplied,"{""eia"",""demand""}",
jet_fuel_net_production,pet.w_epjk_ypy_nus_mbbld.w,thousand_barrels_per_day,weekly,Jet fuel net production,"{""eia"",""production""}",
us_ending_stocks_of_total_petroleum_products,pet.wttstus1.w,thousand_barrels,weekly,U.S. ending stocks of total petroleum products,"{""eia"",""stocks""}",
days_supply_total_gasoline,pet.w_epm0_vsd_nus_days.w,days,weekly,U.S. days of supply of total gasoline,"{""eia"",""stocks""}",
days_supply_distillate,pet.w_epd0_vsd_nus_days.w,days,weekly,U.S. days of supply of distillate fuel oil,"{""eia"",""stocks""}",
days_supply_jet_fuel,pet.w_epjk_vsd_nus_days.w,days,weekly,U.S. days of supply of kerosene-type jet fuel,"{""eia"",""stocks""}",
days_supply_crude,pet.w_epc0_vsd_nus_days.w,days,weekly,U.S. days of supply of crude oil,"{""eia"",""stocks""}",
wti_cushing_spot_price,pet.rwtc.d,dollars_per_barrel,daily,WTI Cushing spot price (daily),"{""eia"",""prices""}",wti
brent_spot_price,pet.rbrte.d,dollars_per_barrel,daily,Brent spot price (daily),"{""eia"",""prices""}",brent
gulf_coast_gasoline_spot_price,pet.eer_epmru_pf4_rgc_dpg.w,dollars_per_gallon,weekly,Gulf Coast gasoline spot price (weekly),"{""eia"",""prices""}",
gulf_coast_ulsd_spot_price,pet.eer_epd2dxl0_pf4_rgc_dpg.w,dollars_per_gallon,weekly,Gulf Coast ULSD spot price (weekly),"{""eia"",""prices""}",
wti_futures_contract_1,pet.rclc1.w,dollars_per_barrel,weekly,Cushing WTI futures contract 1,"{""eia"",""wti"",""futures""}",wti_f1
wti_futures_contract_2,pet.rclc2.w,dollars_per_barrel,weekly,Cushing WTI futures contract 2,"{""eia"",""wti"",""futures""}",wti_f2
wti_futures_contract_3,pet.rclc3.w,dollars_per_barrel,weekly,Cushing WTI futures contract 3,"{""eia"",""wti"",""futures""}",wti_f3
wti_futures_contract_4,pet.rclc4.w,dollars_per_barrel,weekly,Cushing WTI futures contract 4,"{""eia"",""wti"",""futures""}",wti_f4
gulf_coast_rbob_spot_price,pet.eer_epm0_rgc_dpg.w,dollars_per_gallon,weekly,Gulf Coast RBOB spot price (weekly),"{""eia"",""prices""}",
gulf_coast_propane_spot_price,pet.eer_eptus0_pf4_y35_dpg.w,dollars_per_gallon,weekly,Gulf Coast propane spot price (weekly),"{""eia"",""prices""}",
henry_hub_natgas_price,ng.rngwhhd.d,dollars_per_mmbtu,daily,Henry Hub natural gas spot price (daily),"{""eia"",""prices""}",henry_hub
baker_us_total_rigs,baker.us.total,rigs,weekly,Baker Hughes total rig count — United States,"{""baker"",""rigs"",""us""}",baker_us_rigs
baker_canada_total_rigs,baker.canada.total,rigs,weekly,Baker Hughes total rig count — Canada,"{""baker"",""rigs"",""canada""}",baker_canada_rigs
baker_us_permian_oil,baker.us.permian.oil,rigs,weekly,Baker Hughes Permian oil rigs (US),"{""baker"",""rigs"",""permian""}",
baker_us_permian_gas,baker.us.permian.gas,rigs,weekly,Baker Hughes Permian gas rigs (US),"{""baker"",""rigs"",""permian""}",
baker_us_eagle_ford_oil,baker.us.eagle_ford.oil,rigs,weekly,Baker Hughes Eagle Ford oil rigs (US),"{""baker"",""rigs"",""eagle_ford""}",
baker_us_eagle_ford_gas,baker.us.eagle_ford.gas,rigs,weekly,Baker Hughes Eagle Ford gas rigs (US),"{""baker"",""rigs"",""eagle_ford""}",
baker_us_williston_oil,baker.us.williston.oil,rigs,weekly,Baker Hughes Williston oil rigs (US),"{""baker"",""rigs"",""williston""}",
baker_us_williston_gas,baker.us.williston.gas,rigs,weekly,Baker Hughes Williston gas rigs (US),"{""baker"",""rigs"",""williston""}",
baker_us_dj_niobrara_oil,baker.us.dj_niobrara.oil,rigs,weekly,Baker Hughes Dj Niobrara oil rigs (US),"{""baker"",""rigs"",""dj_niobrara""}",
baker_us_dj_niobrara_gas,baker.us.dj_niobrara.gas,rigs,weekly,Baker Hughes Dj Niobrara gas rigs (US),"{""baker"",""rigs"",""dj_niobrara""}",
baker_us_haynesville_gas,baker.us.haynesville.gas,rigs,weekly,Baker Hughes Haynesville gas rigs (US),"{""baker"",""rigs"",""haynesville""}",
baker_us_marcellus_gas,baker.us.marcellus.gas,rigs,weekly,Baker Hughes Marcellus gas rigs (US),"{""baker"",""rigs"",""marcellus""}",
baker_us_utica_gas,baker.us.utica.gas,rigs,weekly,Baker Hughes Utica gas rigs (US),"{""baker"",""rigs"",""utica""}",
baker_canada_montney_gas,baker.canada.montney.gas,rigs,weekly,Baker Hughes Montney gas rigs (CANADA),"{""baker"",""rigs"",""montney""}",
baker_us_anadarko_oil,baker.us.anadarko.oil,rigs,weekly,Baker Hughes Anadarko oil rigs (US),"{""baker"",""rigs"",""anadarko""}",
baker_us_anadarko_gas,baker.us.anadarko.gas,rigs,weekly,Baker Hughes Anadarko gas rigs (US),"{""baker"",""rigs"",""anadarko""}",
stb_avg_train_speed_all,stb.ep724.avg_train_speed,miles_per_hour,weekly,U.S. Class I railroads average train speed,"{""stb"",""rail"",""speed""}",
stb_terminal_dwell_time_all,stb.ep724.terminal_dwell,hours,weekly,U.S. Class I railroads terminal dwell time,"{""stb"",""rail"",""dwell""}",
stb_cars_on_line_total,stb.ep724.cars_on_line,units,weekly,U.S. Class I railroads cars on line,"{""stb"",""rail"",""fleet""}",
stb_trains_held_per_day_total,stb.ep724.trains_held,trains,weekly,U.S. Class I railroads trains holding per day,"{""stb"",""rail"",""congestion""}",
stb_cars_not_moved_48h,stb.ep724.cars_not_moved_48h,units,weekly,U.S. Class I railroads cars not moved for 48+ hours,"{""stb"",""rail"",""congestion""}",
google_us_retail_recreation,google.us.retail_recreation,percent_change_from_baseline,daily,Google Mobility retail recreation (US),"{""google"",""mobility"",""us""}",google_mobility.us.retail
google_us_grocery_pharmacy,google.us.grocery_pharmacy,percent_change_from_baseline,daily,Google Mobility grocery pharmacy (US),"{""google"",""mobility"",""us""}",google_mobility.us.grocery
google_us_parks,google.us.parks,percent_change_from_baseline,daily,Google Mobility parks (US),"{""google"",""mobility"",""us""}",google_mobility.us.parks
google_us_transit_stations,google.us.transit_stations,percent_change_from_baseline,daily,Google Mobility transit stations (US),"{""google"",""mobility"",""us""}",google_mobility.us.transit
google_us_workplaces,google.us.workplaces,percent_change_from_baseline,daily,Google Mobility workplaces (US),"{""google"",""mobility"",""us""}",google_mobility.us.work
google_us_residential,google.us.residential,percent_change_from_baseline,daily,Google Mobility residential (US),"{""google"",""mobility"",""us""}",google_mobility.us.residential
paj_japan_crude_runs,paj.01e.crude_runs,thousand_barrels_per_day,monthly,Japan refinery crude runs,"{""paj"",""crude"",""refining""}",
paj_japan_total_product_stocks,paj.02e.total_products_stock,thousand_barrels,monthly,Japan total petroleum product ending stocks,"{""paj"",""products"",""stocks""}",
paj_japan_crude_stock_days,paj.05e.crude_stock_days,days,monthly,Japan crude oil stock days of supply,"{""paj"",""crude"",""stocks""}",
world_oil_demand_1qcy,opec.t11_1.world_demand_1qcy,million_barrels_per_day,monthly,World oil demand forecast 1Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
world_oil_demand_2qcy,opec.t11_1.world_demand_2qcy,million_barrels_per_day,monthly,World oil demand forecast 2Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
world_oil_demand_3qcy,opec.t11_1.world_demand_3qcy,million_barrels_per_day,monthly,World oil demand forecast 3Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
world_oil_demand_4qcy,opec.t11_1.world_demand_4qcy,million_barrels_per_day,monthly,World oil demand forecast 4Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
world_oil_demand_1qny,opec.t11_1.world_demand_1qny,million_barrels_per_day,monthly,World oil demand forecast 1Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
world_oil_demand_2qny,opec.t11_1.world_demand_2qny,million_barrels_per_day,monthly,World oil demand forecast 2Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
world_oil_demand_3qny,opec.t11_1.world_demand_3qny,million_barrels_per_day,monthly,World oil demand forecast 3Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
world_oil_demand_4qny,opec.t11_1.world_demand_4qny,million_barrels_per_day,monthly,World oil demand forecast 4Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_1qcy,opec.t11_1.oecd_demand_1qcy,million_barrels_per_day,monthly,OECD oil demand forecast 1Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_2qcy,opec.t11_1.oecd_demand_2qcy,million_barrels_per_day,monthly,OECD oil demand forecast 2Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_3qcy,opec.t11_1.oecd_demand_3qcy,million_barrels_per_day,monthly,OECD oil demand forecast 3Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_4qcy,opec.t11_1.oecd_demand_4qcy,million_barrels_per_day,monthly,OECD oil demand forecast 4Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_1qny,opec.t11_1.oecd_demand_1qny,million_barrels_per_day,monthly,OECD oil demand forecast 1Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_2qny,opec.t11_1.oecd_demand_2qny,million_barrels_per_day,monthly,OECD oil demand forecast 2Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_3qny,opec.t11_1.oecd_demand_3qny,million_barrels_per_day,monthly,OECD oil demand forecast 3Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
oecd_oil_demand_4qny,opec.t11_1.oecd_demand_4qny,million_barrels_per_day,monthly,OECD oil demand forecast 4Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_1qcy,opec.t11_1.non_oecd_demand_1qcy,million_barrels_per_day,monthly,Non-OECD oil demand forecast 1Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_2qcy,opec.t11_1.non_oecd_demand_2qcy,million_barrels_per_day,monthly,Non-OECD oil demand forecast 2Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_3qcy,opec.t11_1.non_oecd_demand_3qcy,million_barrels_per_day,monthly,Non-OECD oil demand forecast 3Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_4qcy,opec.t11_1.non_oecd_demand_4qcy,million_barrels_per_day,monthly,Non-OECD oil demand forecast 4Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_1qny,opec.t11_1.non_oecd_demand_1qny,million_barrels_per_day,monthly,Non-OECD oil demand forecast 1Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_2qny,opec.t11_1.non_oecd_demand_2qny,million_barrels_per_day,monthly,Non-OECD oil demand forecast 2Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_3qny,opec.t11_1.non_oecd_demand_3qny,million_barrels_per_day,monthly,Non-OECD oil demand forecast 3Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
non_oecd_oil_demand_4qny,opec.t11_1.non_oecd_demand_4qny,million_barrels_per_day,monthly,Non-OECD oil demand forecast 4Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_1qcy,opec.t11_1.china_demand_1qcy,million_barrels_per_day,monthly,China oil demand forecast 1Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_2qcy,opec.t11_1.china_demand_2qcy,million_barrels_per_day,monthly,China oil demand forecast 2Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_3qcy,opec.t11_1.china_demand_3qcy,million_barrels_per_day,monthly,China oil demand forecast 3Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_4qcy,opec.t11_1.china_demand_4qcy,million_barrels_per_day,monthly,China oil demand forecast 4Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_1qny,opec.t11_1.china_demand_1qny,million_barrels_per_day,monthly,China oil demand forecast 1Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_2qny,opec.t11_1.china_demand_2qny,million_barrels_per_day,monthly,China oil demand forecast 2Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_3qny,opec.t11_1.china_demand_3qny,million_barrels_per_day,monthly,China oil demand forecast 3Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
china_oil_demand_4qny,opec.t11_1.china_demand_4qny,million_barrels_per_day,monthly,China oil demand forecast 4Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_1qcy,opec.t11_1.india_demand_1qcy,million_barrels_per_day,monthly,India oil demand forecast 1Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_2qcy,opec.t11_1.india_demand_2qcy,million_barrels_per_day,monthly,India oil demand forecast 2Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_3qcy,opec.t11_1.india_demand_3qcy,million_barrels_per_day,monthly,India oil demand forecast 3Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_4qcy,opec.t11_1.india_demand_4qcy,million_barrels_per_day,monthly,India oil demand forecast 4Q Current Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_1qny,opec.t11_1.india_demand_1qny,million_barrels_per_day,monthly,India oil demand forecast 1Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_2qny,opec.t11_1.india_demand_2qny,million_barrels_per_day,monthly,India oil demand forecast 2Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_3qny,opec.t11_1.india_demand_3qny,million_barrels_per_day,monthly,India oil demand forecast 3Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
india_oil_demand_4qny,opec.t11_1.india_demand_4qny,million_barrels_per_day,monthly,India oil demand forecast 4Q Next Year (OPEC MOMR),"{""opec"",""demand""}"
non_doc_liquids_production_1qcy,opec.t11_1.non_doc_liquids_production_1qcy,million_barrels_per_day,monthly,Non-DoC liquids production forecast 1Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_doc_liquids_production_2qcy,opec.t11_1.non_doc_liquids_production_2qcy,million_barrels_per_day,monthly,Non-DoC liquids production forecast 2Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_doc_liquids_production_3qcy,opec.t11_1.non_doc_liquids_production_3qcy,million_barrels_per_day,monthly,Non-DoC liquids production forecast 3Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_doc_liquids_production_4qcy,opec.t11_1.non_doc_liquids_production_4qcy,million_barrels_per_day,monthly,Non-DoC liquids production forecast 4Q Current Year (OPEC MOMR),"{""opec"",""supply""}"
non_doc_liquids_production_1qny,opec.t11_1.non_doc_liquids_production_1qny,million_barrels_per_day,monthly,Non-DoC liquids production forecast 1Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
non_doc_liquids_production_2qny,opec.t11_1.non_doc_liquids_production_2qny,million_barrels_per_day,monthly,Non-DoC liquids production forecast 2Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
non_doc_liquids_production_3qny,opec.t11_1.non_doc_liquids_production_3qny,million_barrels_per_day,monthly,Non-DoC liquids production forecast 3Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
non_doc_liquids_production_4qny,opec.t11_1.non_doc_liquids_production_4qny,million_barrels_per_day,monthly,Non-DoC liquids production forecast 4Q Next Year (OPEC MOMR),"{""opec"",""supply""}"
