model_col,series_code,unit,freq,description,tags
ending_commercial_crude_stocks,pet.wcestus1.w,thousand_barrels,weekly,Ending commercial crude stocks,"[""eia"", ""stocks""]"
cushing_crude_stocks,pet.wcsstus1.w,thousand_barrels,weekly,Cushing crude stocks,"[""eia"", ""stocks""]"
field_production_of_crude,pet.wcrfpus2.w,thousand_barrels_per_day,weekly,Field production of crude,"[""eia"", ""production""]"
net_imports_of_crude,pet.wcrntus2.w,thousand_barrels_per_day,weekly,Net imports of crude,"[""eia"", ""imports""]"
crude_runs_to_refineries,pet.wcrrius2.w,thousand_barrels_per_day,weekly,Crude runs to refineries,"[""eia"", ""refining""]"
refinery_utilization_us,pet.wpuleus3.w,percent,weekly,Refinery utilization (U.S.),"[""eia"", ""refining""]"
gasoline_ending_stocks,pet.wgtstus1.w,thousand_barrels,weekly,Gasoline ending stocks,"[""eia"", ""stocks""]"
gasoline_product_supplied,pet.wgfupus2.w,thousand_barrels_per_day,weekly,Gasoline product supplied,"[""eia"", ""demand""]"
gasoline_net_production,pet.wgfrpus2.w,thousand_barrels_per_day,weekly,Gasoline net production,"[""eia"", ""production""]"
distillate_ending_stocks,pet.wdistus1.w,thousand_barrels,weekly,Distillate ending stocks,"[""eia"", ""stocks""]"
distillate_net_production,pet.w_epd0_ypy_nus_mbbld.w,thousand_barrels_per_day,weekly,Distillate net production,"[""eia"", ""production""]"
distillate_product_supplied,pet.wdiupus2.w,thousand_barrels_per_day,weekly,Distillate product supplied,"[""eia"", ""demand""]"
jet_fuel_ending_stocks,pet.wkjstus1.w,thousand_barrels,weekly,Jet fuel ending stocks,"[""eia"", ""stocks""]"
jet_fuel_product_supplied,pet.wkjupus2.w,thousand_barrels_per_day,weekly,Jet fuel product supplied,"[""eia"", ""demand""]"
jet_fuel_net_production,pet.w_epjk_ypy_nus_mbbld.w,thousand_barrels_per_day,weekly,Jet fuel net production,"[""eia"", ""production""]"
wti_cushing_spot_price,pet.rwtc.d,dollars_per_barrel,daily,WTI Cushing spot price (daily),"[""eia"", ""prices""]"
brent_spot_price,pet.rbrte.d,dollars_per_barrel,daily,Brent spot price (daily),"[""eia"", ""prices""]"
gulf_coast_gasoline_spot_price,pet.eer_epmru_pf4_rgc_dpg.w,dollars_per_gallon,weekly,Gulf Coast gasoline spot price (weekly),"[""eia"", ""prices""]"
gulf_coast_ulsd_spot_price,pet.eer_epd2dxl0_pf4_rgc_dpg.w,dollars_per_gallon,weekly,Gulf Coast ULSD spot price (weekly),"[""eia"", ""prices""]"
us_ending_stocks_of_total_petroleum_products,pet.wttstus1.w,thousand_barrels,weekly,U.S. ending stocks of total petroleum products,"[""eia"", ""stocks""]"
days_supply_total_gasoline,pet.w_epm0_vsd_nus_days.w,days,weekly,U.S. days of supply of total gasoline,"[""eia"", ""stocks""]"
