model_col,series_code,unit,freq,description,tags
baker_canada_gas_directional_other,baker.canada.gas.directional.other,unknown,unknown,,[]
baker_canada_gas_horizontal_other,baker.canada.gas.horizontal.other,unknown,unknown,,[]
baker_canada_gas_other_other,baker.canada.gas.other.other,unknown,unknown,,[]
baker_canada_gas_vertical_other,baker.canada.gas.vertical.other,unknown,unknown,,[]
baker_canada_miscellaneous_directional_other,baker.canada.miscellaneous.directional.other,unknown,unknown,,[]
baker_canada_miscellaneous_horizontal_other,baker.canada.miscellaneous.horizontal.other,unknown,unknown,,[]
baker_canada_miscellaneous_vertical_other,baker.canada.miscellaneous.vertical.other,unknown,unknown,,[]
baker_canada_oil_directional_other,baker.canada.oil.directional.other,unknown,unknown,,[]
baker_canada_oil_horizontal_other,baker.canada.oil.horizontal.other,unknown,unknown,,[]
baker_canada_oil_vertical_other,baker.canada.oil.vertical.other,unknown,unknown,,[]
baker_unitedstates_gas_directional_ardmore_woodford,baker.united states.gas.directional.ardmore_woodford,unknown,unknown,,[]
baker_unitedstates_gas_directional_arkoma_woodford,baker.united states.gas.directional.arkoma_woodford,unknown,unknown,,[]
baker_unitedstates_gas_directional_barnett,baker.united states.gas.directional.barnett,unknown,unknown,,[]
baker_unitedstates_gas_directional_cana_woodford,baker.united states.gas.directional.cana_woodford,unknown,unknown,,[]
baker_unitedstates_gas_directional_dj_niobrara,baker.united states.gas.directional.dj-niobrara,unknown,unknown,,[]
baker_unitedstates_gas_directional_eagle_ford,baker.united states.gas.directional.eagle_ford,unknown,unknown,,[]
baker_unitedstates_gas_directional_granite_wash,baker.united states.gas.directional.granite_wash,unknown,unknown,,[]
baker_unitedstates_gas_directional_haynesville,baker.united states.gas.directional.haynesville,unknown,unknown,,[]
baker_unitedstates_gas_directional_marcellus,baker.united states.gas.directional.marcellus,unknown,unknown,,[]
baker_unitedstates_gas_directional_other,baker.united states.gas.directional.other,unknown,unknown,,[]
baker_unitedstates_gas_directional_permian,baker.united states.gas.directional.permian,unknown,unknown,,[]
baker_unitedstates_gas_directional_utica,baker.united states.gas.directional.utica,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_ardmore_woodford,baker.united states.gas.horizontal.ardmore_woodford,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_arkoma_woodford,baker.united states.gas.horizontal.arkoma_woodford,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_barnett,baker.united states.gas.horizontal.barnett,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_cana_woodford,baker.united states.gas.horizontal.cana_woodford,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_dj_niobrara,baker.united states.gas.horizontal.dj-niobrara,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_eagle_ford,baker.united states.gas.horizontal.eagle_ford,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_fayetteville,baker.united states.gas.horizontal.fayetteville,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_granite_wash,baker.united states.gas.horizontal.granite_wash,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_haynesville,baker.united states.gas.horizontal.haynesville,unknown,unknown,,[]
baker_unitedstates_gas_horizontal_marcellus,baker.united states.gas.horizontal.marcellus,unknown,unknown,,[]
