model_col,series_code,unit,freq,description,tags
baker_canada_gas_directional_other,baker.canada.gas.directional.other,rigs,weekly,Baker Canada Gas Directional Other,baker
baker_canada_gas_horizontal_other,baker.canada.gas.horizontal.other,rigs,weekly,Baker Canada Gas Horizontal Other,baker
baker_canada_gas_other_other,baker.canada.gas.other.other,rigs,weekly,Baker Canada Gas Other Other,baker
baker_canada_gas_vertical_other,baker.canada.gas.vertical.other,rigs,weekly,Baker Canada Gas Vertical Other,baker
baker_canada_miscellaneous_directional_other,baker.canada.miscellaneous.directional.other,rigs,weekly,Baker Canada Miscellaneous Directional Other,baker
baker_canada_miscellaneous_horizontal_other,baker.canada.miscellaneous.horizontal.other,rigs,weekly,Baker Canada Miscellaneous Horizontal Other,baker
baker_canada_miscellaneous_vertical_other,baker.canada.miscellaneous.vertical.other,rigs,weekly,Baker Canada Miscellaneous Vertical Other,baker
baker_canada_oil_directional_other,baker.canada.oil.directional.other,rigs,weekly,Baker Canada Oil Directional Other,baker
baker_canada_oil_horizontal_other,baker.canada.oil.horizontal.other,rigs,weekly,Baker Canada Oil Horizontal Other,baker
baker_canada_oil_vertical_other,baker.canada.oil.vertical.other,rigs,weekly,Baker Canada Oil Vertical Other,baker
baker.canada.total.total.total,baker.canada.total.total.total,rigs,weekly,Baker Hughes weekly total rig count for Canada,
baker_unitedstates_gas_directional_ardmore_woodford,baker.united states.gas.directional.ardmore_woodford,rigs,weekly,Baker Unitedstates Gas Directional Ardmore Woodford,baker
baker_unitedstates_gas_directional_arkoma_woodford,baker.united states.gas.directional.arkoma_woodford,rigs,weekly,Baker Unitedstates Gas Directional Arkoma Woodford,baker
baker_unitedstates_gas_directional_barnett,baker.united states.gas.directional.barnett,rigs,weekly,Baker Unitedstates Gas Directional Barnett,baker
baker_unitedstates_gas_directional_cana_woodford,baker.united states.gas.directional.cana_woodford,rigs,weekly,Baker Unitedstates Gas Directional Cana Woodford,baker
baker_unitedstates_gas_directional_dj_niobrara,baker.united states.gas.directional.dj-niobrara,rigs,weekly,Baker Unitedstates Gas Directional Dj Niobrara,baker
baker_unitedstates_gas_directional_eagle_ford,baker.united states.gas.directional.eagle_ford,rigs,weekly,Baker Unitedstates Gas Directional Eagle Ford,baker
baker_unitedstates_gas_directional_granite_wash,baker.united states.gas.directional.granite_wash,rigs,weekly,Baker Unitedstates Gas Directional Granite Wash,baker
baker_unitedstates_gas_directional_haynesville,baker.united states.gas.directional.haynesville,rigs,weekly,Baker Unitedstates Gas Directional Haynesville,baker
baker_unitedstates_gas_directional_marcellus,baker.united states.gas.directional.marcellus,rigs,weekly,Baker Unitedstates Gas Directional Marcellus,baker
baker_unitedstates_gas_directional_other,baker.united states.gas.directional.other,rigs,weekly,Baker Unitedstates Gas Directional Other,baker
baker_unitedstates_gas_directional_permian,baker.united states.gas.directional.permian,rigs,weekly,Baker Unitedstates Gas Directional Permian,baker
baker_unitedstates_gas_directional_utica,baker.united states.gas.directional.utica,rigs,weekly,Baker Unitedstates Gas Directional Utica,baker
baker_unitedstates_gas_horizontal_ardmore_woodford,baker.united states.gas.horizontal.ardmore_woodford,rigs,weekly,Baker Unitedstates Gas Horizontal Ardmore Woodford,baker
baker_unitedstates_gas_horizontal_arkoma_woodford,baker.united states.gas.horizontal.arkoma_woodford,rigs,weekly,Baker Unitedstates Gas Horizontal Arkoma Woodford,baker
baker_unitedstates_gas_horizontal_barnett,baker.united states.gas.horizontal.barnett,rigs,weekly,Baker Unitedstates Gas Horizontal Barnett,baker
baker_unitedstates_gas_horizontal_cana_woodford,baker.united states.gas.horizontal.cana_woodford,rigs,weekly,Baker Unitedstates Gas Horizontal Cana Woodford,baker
baker_unitedstates_gas_horizontal_dj_niobrara,baker.united states.gas.horizontal.dj-niobrara,rigs,weekly,Baker Unitedstates Gas Horizontal Dj Niobrara,baker
baker_unitedstates_gas_horizontal_eagle_ford,baker.united states.gas.horizontal.eagle_ford,rigs,weekly,Baker Unitedstates Gas Horizontal Eagle Ford,baker
baker_unitedstates_gas_horizontal_fayetteville,baker.united states.gas.horizontal.fayetteville,rigs,weekly,Baker Unitedstates Gas Horizontal Fayetteville,baker
baker_unitedstates_gas_horizontal_granite_wash,baker.united states.gas.horizontal.granite_wash,rigs,weekly,Baker Unitedstates Gas Horizontal Granite Wash,baker
baker_unitedstates_gas_horizontal_haynesville,baker.united states.gas.horizontal.haynesville,rigs,weekly,Baker Unitedstates Gas Horizontal Haynesville,baker
baker_unitedstates_gas_horizontal_marcellus,baker.united states.gas.horizontal.marcellus,rigs,weekly,Baker Unitedstates Gas Horizontal Marcellus,baker
baker_unitedstates_gas_horizontal_mississippian,baker.united states.gas.horizontal.mississippian,rigs,weekly,Baker Unitedstates Gas Horizontal Mississippian,baker
baker_unitedstates_gas_horizontal_other,baker.united states.gas.horizontal.other,rigs,weekly,Baker Unitedstates Gas Horizontal Other,baker
baker_unitedstates_gas_horizontal_permian,baker.united states.gas.horizontal.permian,rigs,weekly,Baker Unitedstates Gas Horizontal Permian,baker
baker_unitedstates_gas_horizontal_utica,baker.united states.gas.horizontal.utica,rigs,weekly,Baker Unitedstates Gas Horizontal Utica,baker
baker_unitedstates_gas_horizontal_williston,baker.united states.gas.horizontal.williston,rigs,weekly,Baker Unitedstates Gas Horizontal Williston,baker
baker_unitedstates_gas_other_other,baker.united states.gas.other.other,rigs,weekly,Baker Unitedstates Gas Other Other,baker
baker_unitedstates_gas_vertical_ardmore_woodford,baker.united states.gas.vertical.ardmore_woodford,rigs,weekly,Baker Unitedstates Gas Vertical Ardmore Woodford,baker
baker_unitedstates_gas_vertical_arkoma_woodford,baker.united states.gas.vertical.arkoma_woodford,rigs,weekly,Baker Unitedstates Gas Vertical Arkoma Woodford,baker
baker_unitedstates_gas_vertical_barnett,baker.united states.gas.vertical.barnett,rigs,weekly,Baker Unitedstates Gas Vertical Barnett,baker
baker_unitedstates_gas_vertical_cana_woodford,baker.united states.gas.vertical.cana_woodford,rigs,weekly,Baker Unitedstates Gas Vertical Cana Woodford,baker
baker_unitedstates_gas_vertical_dj_niobrara,baker.united states.gas.vertical.dj-niobrara,rigs,weekly,Baker Unitedstates Gas Vertical Dj Niobrara,baker
baker_unitedstates_gas_vertical_eagle_ford,baker.united states.gas.vertical.eagle_ford,rigs,weekly,Baker Unitedstates Gas Vertical Eagle Ford,baker
baker_unitedstates_gas_vertical_fayetteville,baker.united states.gas.vertical.fayetteville,rigs,weekly,Baker Unitedstates Gas Vertical Fayetteville,baker
baker_unitedstates_gas_vertical_granite_wash,baker.united states.gas.vertical.granite_wash,rigs,weekly,Baker Unitedstates Gas Vertical Granite Wash,baker
baker_unitedstates_gas_vertical_haynesville,baker.united states.gas.vertical.haynesville,rigs,weekly,Baker Unitedstates Gas Vertical Haynesville,baker
baker_unitedstates_gas_vertical_marcellus,baker.united states.gas.vertical.marcellus,rigs,weekly,Baker Unitedstates Gas Vertical Marcellus,baker
baker_unitedstates_gas_vertical_mississippian,baker.united states.gas.vertical.mississippian,rigs,weekly,Baker Unitedstates Gas Vertical Mississippian,baker
baker_unitedstates_gas_vertical_other,baker.united states.gas.vertical.other,rigs,weekly,Baker Unitedstates Gas Vertical Other,baker
baker_unitedstates_gas_vertical_permian,baker.united states.gas.vertical.permian,rigs,weekly,Baker Unitedstates Gas Vertical Permian,baker
baker_unitedstates_gas_vertical_utica,baker.united states.gas.vertical.utica,rigs,weekly,Baker Unitedstates Gas Vertical Utica,baker
baker_unitedstates_miscellaneous_directional_eagle_ford,baker.united states.miscellaneous.directional.eagle_ford,rigs,weekly,Baker Unitedstates Miscellaneous Directional Eagle Ford,baker
baker_unitedstates_miscellaneous_directional_marcellus,baker.united states.miscellaneous.directional.marcellus,rigs,weekly,Baker Unitedstates Miscellaneous Directional Marcellus,baker
baker_unitedstates_miscellaneous_directional_other,baker.united states.miscellaneous.directional.other,rigs,weekly,Baker Unitedstates Miscellaneous Directional Other,baker
baker_unitedstates_miscellaneous_directional_utica,baker.united states.miscellaneous.directional.utica,rigs,weekly,Baker Unitedstates Miscellaneous Directional Utica,baker
baker_unitedstates_miscellaneous_directional_williston,baker.united states.miscellaneous.directional.williston,rigs,weekly,Baker Unitedstates Miscellaneous Directional Williston,baker
baker_unitedstates_miscellaneous_horizontal_ardmore_woodford,baker.united states.miscellaneous.horizontal.ardmore_woodford,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Ardmore Woodford,baker
baker_unitedstates_miscellaneous_horizontal_barnett,baker.united states.miscellaneous.horizontal.barnett,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Barnett,baker
baker_unitedstates_miscellaneous_horizontal_cana_woodford,baker.united states.miscellaneous.horizontal.cana_woodford,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Cana Woodford,baker
baker_unitedstates_miscellaneous_horizontal_eagle_ford,baker.united states.miscellaneous.horizontal.eagle_ford,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Eagle Ford,baker
baker_unitedstates_miscellaneous_horizontal_other,baker.united states.miscellaneous.horizontal.other,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Other,baker
baker_unitedstates_miscellaneous_horizontal_permian,baker.united states.miscellaneous.horizontal.permian,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Permian,baker
baker_unitedstates_miscellaneous_horizontal_utica,baker.united states.miscellaneous.horizontal.utica,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Utica,baker
baker_unitedstates_miscellaneous_horizontal_williston,baker.united states.miscellaneous.horizontal.williston,rigs,weekly,Baker Unitedstates Miscellaneous Horizontal Williston,baker
baker_unitedstates_miscellaneous_vertical_eagle_ford,baker.united states.miscellaneous.vertical.eagle_ford,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Eagle Ford,baker
baker_unitedstates_miscellaneous_vertical_haynesville,baker.united states.miscellaneous.vertical.haynesville,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Haynesville,baker
baker_unitedstates_miscellaneous_vertical_marcellus,baker.united states.miscellaneous.vertical.marcellus,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Marcellus,baker
baker_unitedstates_miscellaneous_vertical_other,baker.united states.miscellaneous.vertical.other,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Other,baker
baker_unitedstates_miscellaneous_vertical_permian,baker.united states.miscellaneous.vertical.permian,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Permian,baker
baker_unitedstates_miscellaneous_vertical_utica,baker.united states.miscellaneous.vertical.utica,rigs,weekly,Baker Unitedstates Miscellaneous Vertical Utica,baker
